contrast,estimate,SE,df,t.ratio,p.value
Drum - Flute,-0.09634341950485698,0.06208204569331836,722.752922840001,-1.5518725007997929,0.4070793267186259
Drum - Speech,0.009383785653728018,0.06065234316328267,715.8868960379383,0.1547143138141564,0.9986804056664798
Drum - Pink Noise,0.02957679975977432,0.06140284135497517,718.7058547714765,0.4816845459770871,0.9631478307439323
Flute - Speech,0.105727205158585,0.06278272360625956,721.6005050659851,1.6840174985343228,0.33285817815432095
Flute - Pink Noise,0.1259202192646313,0.0633013368365912,719.2905078055823,1.9892189574082326,0.19295933921243769
Speech - Pink Noise,0.020193014106046302,0.06227219848040126,720.909234171479,0.32427013336299004,0.9882142971397043
