"participantId","span","sum_rt","sum_traj","pct_rt","pct_traj"
"P001",1017.641,1017.80764770508,1015.098,100.016375883546,99.7501083387953
"P002",1320.079,1320.28923034668,1317.533,100.015925588293,99.8071327549336
"P003",1107.6,1024.92431640625,1187.882,92.5356009756455,107.24828457927
"P004",687.293,687.486877441406,684.754,100.028208848541,99.6305796799909
"P005",984.674,984.840850830078,982.122,100.016944778686,99.7408279288373
"P006",898.411,898.591369628906,895.879,100.020076516083,99.7181690785175
"P007",728.788,728.968780517578,726.249,100.024805638619,99.651613363557
"P008",928.959,757.789497375488,1097.776,81.5740519630563,118.172707299246
"P009",993.976,994.170219421387,991.43,100.019539648984,99.743856994535
"P010",856.917,857.114486694336,854.399,100.023046187009,99.7061559054144
"P011",739.874,739.985557556152,737.326,100.015077912746,99.6556170374956
"P012",1123.531,1123.64202880859,1120.995,100.009882131298,99.7742830415894
"P013",534.379,534.546051025391,531.82,100.031260776601,99.5211263915685
"P014",820.453,820.591995239258,817.898,100.01694127991,99.688586671022
"P015",467.56,467.72412109375,465.005,100.035101611291,99.4535460689537
"P016",491.651,491.76252746582,489.092,100.022684275191,99.4795088385867
"P017",504.503,504.69750213623,501.942,100.038553216974,99.4923717004656
"P018",581.857,582.038345336914,579.308,100.031166650382,99.5619198531598
"P019",775.523,775.703350067139,772.987,100.02325528284,99.6729948692689
"P020",817.766,817.95874786377,815.218,100.023570051062,99.6884194256059
"P021",480.25,480.416236877441,477.69,100.034614654334,99.4669442998438
"P022",747.78,747.887161254883,745.213,100.014330585852,99.6567172162936
"P023",1231.919,1232.11373901367,1229.385,100.015807777433,99.7943046580173
"P024",748.054,748.222564697266,745.508,100.022533760566,99.6596502391539
"P025",1663.615,1663.80786132812,1661.065,100.011592906299,99.8467193431172
"P026",1913.612,1913.79197692871,1911.069,100.009405089888,99.867109947053
"P027",676.721,676.830413818359,674.162,100.01616823157,99.6218530236242
"P028",1042.133,1042.34365844727,1039.578,100.020214161462,99.754829757814
"P029",598.596,598.720840454102,596.04,100.020855544324,99.5730008219233
"P030",1401.532,1299.41461181641,1501.293,92.7138739476806,107.1179965923
"P031",1000.013,1000.18115234375,997.467,100.01681501578,99.7454033097569
