"contrast","ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value"
"Drum / Flute",1.0724611643515,0.0452831174146441,Inf,0.962214884594167,1.19533896997165,1,1.65680434377985,0.34681980405014
"Drum / Speech",1.04763787434676,0.0432588290658599,Inf,0.942196054945124,1.16487976149479,1,1.12705217048227,0.672782862953566
"Drum / Pink Noise",1.05268498523876,0.0442147839159936,Inf,0.945009572451441,1.1726290510185,1,1.22242118369447,0.612544028823448
"Flute / Speech",0.976853903125015,0.0413312573394627,Inf,0.876239867261515,1.08902092189989,1,-0.553482677994421,0.945632190248791
"Flute / Pink Noise",0.98156000443643,0.0418173646383646,Inf,0.87980015166708,1.09508965244396,1,-0.436874112569344,0.972104784033395
"Speech / Pink Noise",1.00481761018343,0.0419146529231079,Inf,0.902706542286693,1.11847913185288,1,0.115214989024754,0.999453397767557
