"disparityRange","n","onset_median","onset_q25","onset_q75","onset_pct_over_30","mean_median","mean_q25","mean_q75","mean_pct_over_30"
"Short (15-30cm)",238,15.2462624448641,10.3163947128187,20.9359591663065,10.0840336134454,24.8887512041585,17.6212660818013,32.8870871908132,31.9327731092437
"Medium (30-40cm)",246,22.6818739518235,14.9857327604032,32.2171424271343,27.6422764227642,42.4896017595611,30.3066240658484,52.6155577932114,75.609756097561
"Long (40-70cm)",260,33.676071199782,21.7194183647479,52.7383570720261,56.5384615384615,56.5722061260253,42.8669195098838,69.5791567800288,90
