"min_distance_m","n","estimate","se","p","sd_angDisp"
0,744,0.335877113382728,0.0659591977138695,1.47861753722666e-05,23.0805232372099
0.3,683,0.317521103561556,0.0539656576784165,5.92530582916849e-06,19.6818417877278
0.5,550,0.264702190523566,0.0598771217231541,0.000123347532944939,15.2636745347056
0.75,305,0.171404333364763,0.0910574344558003,0.0607736111461676,10.1653326108046
1,132,0.571715218586565,0.168349022777351,0.000918282874020925,7.80073187855824
