"stimulusDisparity_m","gamm_fit","gamm_se","lin_fit","lin_se"
0.15,0.0606152072042108,0.0166847126428245,0.0606151944311671,0.0166959621403613
0.155,0.0623496627076047,0.016577312741015,0.062349650297269,0.0165884906825677
0.16,0.0640841182109719,0.0164734387213994,0.0640841061633709,0.0164845474783909
0.165,0.0658185737142818,0.01637315769047,0.0658185620294728,0.0163841996788808
0.17,0.067553029217489,0.0162765360584419,0.0675530178955747,0.0162875137383207
0.175,0.0692874847205412,0.016183639368882,0.0692874737616766,0.0161945552437528
0.18,0.0710219402233737,0.0160945321223523,0.0710219296277785,0.0161053887385051
0.185,0.0727563957259166,0.0160092775947876,0.0727563854938804,0.0160200775404553
0.19,0.0744908512280899,0.0159279376514681,0.0744908413599823,0.0159386835558796
0.195,0.0762253067298094,0.0158505725575268,0.0762252972260842,0.0158612670898375
0.2,0.0779597622309833,0.0157772407860558,0.0779597530921861,0.0157878866541499
0.205,0.0796942177315166,0.0157079988249565,0.079694208958288,0.0157185987741223
0.21,0.081428673231309,0.0156429009837809,0.0814286648243899,0.0156534577952548
0.215,0.083163128730258,0.0155819992018779,0.0831631206904918,0.0155925156912615
0.22,0.0848975842282576,0.0155253428592383,0.0848975765565937,0.015535821874786
0.225,0.0866320397252008,0.0154729785914692,0.0866320324226956,0.0154834230122525
0.23,0.0883664952209789,0.0154249501103786,0.0883664882887975,0.0154353628443277
0.235,0.0901009507154828,0.015381298031653,0.0901009441548993,0.0153916820134833
0.24,0.091835406208604,0.0153420597111201,0.0918354000210012,0.0153524179001468
0.245,0.0935698617002341,0.0153072690910505,0.0935698558871031,0.0153176044689024
0.25,0.0953043171902669,0.0152769565579206,0.095304311753205,0.0152872721261564
0.255,0.0970387726785972,0.0152511488129707,0.0970387676193069,0.0152614475906124
0.26,0.0987732281651235,0.0152298687568217,0.0987732234854088,0.0152401537778098
0.265,0.100507683649746,0.0152131353892806,0.100507679351511,0.0152234096998669
0.27,0.10224213913237,0.0152009637253523,0.102242135217613,0.0152112303814366
0.275,0.103976594612903,0.015193364728305,0.103976591083715,0.015203626792733
0.28,0.105711050091258,0.0151903452604904,0.105711046949816,0.0152006058003195
0.285,0.107445505567353,0.0151919080524224,0.107445502815918,0.0152021701361726
0.29,0.109179961041112,0.0151980516904465,0.10917995868202,0.0152083183853441
0.295,0.110914416512463,0.015208770623122,0.110914414548122,0.0152190449923536
0.3,0.112648871981341,0.015224055186258,0.112648870414224,0.0152343402862415
0.305,0.114383327447686,0.0152438916463324,0.114383326280326,0.0152541905240216
0.31,0.116117782911447,0.015268262261848,0.116117782146428,0.0152785779520781
0.315,0.117852238372577,0.0152971453619835,0.11785223801253,0.0153074808848724
0.32,0.119586693831039,0.0153305154417395,0.119586693878632,0.0153408738001513
0.325,0.121321149286799,0.0153683432726118,0.121321149744733,0.0153787274496961
0.33,0.123055604739835,0.0154105960276979,0.123055605610835,0.0154210089845098
0.335,0.124790060190127,0.0154572374200109,0.124790061476937,0.0154676820932245
0.34,0.126524515637667,0.0155082278526901,0.126524517343039,0.0155187071524084
0.345,0.12825897108245,0.0155635245797065,0.128258973209141,0.0155740413873791
0.35,0.129993426524483,0.0156230818756228,0.129993429075243,0.0156336390420724
0.355,0.131727881963776,0.0156868512129192,0.131727884941345,0.015697451556487
0.36,0.133462337400346,0.0157547814454026,0.133462340807447,0.0157654277502112
0.365,0.13519679283422,0.0158268189962092,0.135196796673549,0.0158375140105521
0.37,0.136931248265427,0.0159029080489583,0.136931252539651,0.0159136544838125
0.375,0.138665703694006,0.0159829907406429,0.138665708405752,0.0159937912683119
0.38,0.14040015912,0.0160670073549241,0.140400164271854,0.0160778646078054
0.385,0.142134614543458,0.0161548965145505,0.142134620137956,0.0161658130840346
0.39,0.143869069964433,0.0162465953717332,0.143869076004058,0.0162575738072259
0.395,0.145603525382984,0.0163420397953785,0.14560353187016,0.0163530826034506
0.4,0.147337980799174,0.0164411645542037,0.147337987736262,0.0164522741978606
0.405,0.14907243621307,0.0165439034948463,0.149072443602364,0.0165550823929188
0.41,0.150806891624742,0.0166501897142045,0.150806899468466,0.0166614402408526
0.415,0.152541347034263,0.016759955725336,0.152541355334568,0.0167712802096651
0.42,0.154275802441709,0.0168731336163651,0.154275811200669,0.0168845343421468
0.425,0.156010257847158,0.0169896552019379,0.156010267066771,0.0170011344074327
0.43,0.157744713250688,0.017109452166876,0.157744722932873,0.0171210120447502
0.435,0.159479168652379,0.0172324562017623,0.159479178798975,0.0172440988990959
0.44,0.161213624052312,0.0173585991302929,0.161213634665077,0.0173703267486697
0.445,0.162948079450567,0.0174878130282953,0.162948090531179,0.0174996276239733
0.45,0.164682534847225,0.0176200303344046,0.164682546397281,0.0176319339185563
0.455,0.166416990242365,0.0177551839524367,0.166417002263383,0.0177671784914593
0.46,0.168151445636065,0.0178932073455785,0.168151458129485,0.0179052947614621
0.465,0.169885901028402,0.0180340346225439,0.169885913995587,0.0180462167932988
0.47,0.171620356419449,0.0181776006159129,0.171620369861688,0.018189879376045
0.475,0.17335481180928,0.0183238409528855,0.17335482572779,0.0183362180939207
0.48,0.175089267197964,0.0184726921187372,0.175089281593892,0.0184851693897841
0.485,0.176823722585568,0.0186240915132636,0.176823737459994,0.0186366706216166
0.49,0.178558177972156,0.0187779775005461,0.178558193326096,0.0187906601123183
0.495,0.18029263335779,0.0189342894523607,0.180292649192198,0.018947077193149
0.5,0.182027088742526,0.0190929677855839,0.1820271050583,0.0191058622411566
0.505,0.183761544126419,0.0192539539939351,0.183761560924402,0.0192669567109439
0.51,0.18549599950952,0.0194171906744145,0.185496016790504,0.0194303031611231
0.515,0.187230454891876,0.0195826215487762,0.187230472656605,0.0195958452758064
0.52,0.188964910273532,0.0197501914803899,0.188964928522707,0.0197635278814783
0.525,0.190699365654528,0.0199198464868195,0.190699384388809,0.0199332969595856
0.53,0.192433821034902,0.0200915337484553,0.192433840254911,0.0201050996551747
0.535,0.194168276414688,0.0202652016135089,0.194168296121013,0.0202788842818933
0.54,0.195902731793919,0.0204407995996857,0.195902751987115,0.0204546003236622
0.545,0.197637187172622,0.0206182783928189,0.197637207853217,0.0206321984333113
0.55,0.199371642550825,0.0207975898427525,0.199371663719319,0.0208116304284584
0.555,0.201106097928551,0.0209786869567315,0.201106119585421,0.0209928492848962
0.56,0.202840553305822,0.0211615238905556,0.202840575451523,0.0211758091277389
0.565,0.204575008682659,0.021346055937728,0.204575031317624,0.0213604652205639
0.57,0.20630946405908,0.0215322395168251,0.206309487183726,0.0215467739527717
0.575,0.208043919435103,0.0217200321572904,0.208043943049828,0.02173469282537
0.58,0.209778374810743,0.0219093924838499,0.20977839891593,0.0219241804353771
0.585,0.211512830186017,0.0221002801997245,0.211512854782032,0.0221151964590229
0.59,0.213247285560938,0.0222926560688107,0.213247310648134,0.022307701633916
0.595,0.214981740935522,0.0224864818969773,0.214981766514236,0.0225016577403286
0.6,0.216716196309782,0.0226817205126265,0.216716222380338,0.0226970275817427
0.605,0.218450651683734,0.0228783357466427,0.21845067824644,0.0228937749647872
0.61,0.220185107057391,0.0230762924118539,0.220185134112541,0.0230918646786844
0.615,0.221919562430768,0.0232755562821087,0.221919589978643,0.0232912624743156
0.62,0.223654017803881,0.0234760940710732,0.223654045844745,0.0234919350430031
0.625,0.225388473176745,0.0236778734108324,0.225388501710847,0.0236938499951005
0.63,0.227122928549377,0.023880862830381,0.227122957576949,0.0238969758384697
0.635,0.228857383921794,0.024085031734073,0.228857413443051,0.024101281956919
0.64,0.230591839294013,0.0242903503800996,0.230591869309153,0.0243067385886681
0.645,0.232326294666051,0.0244967898590491,0.232326325175255,0.0245133168048963
0.65,0.234060750037928,0.0247043220726055,0.234060781041357,0.0247209884884283
0.655,0.235795205409662,0.0249129197124279,0.235795236907459,0.0249297263126018
