"measure","n","mean","sd","min","q25","median","q75","max"
"head-source distance, all samples (m)",251666,0.538230228027724,0.284784072401347,0.00399846061874161,0.324877266149966,0.500750999353045,0.703711637474782,4.8430997708629
"head-source distance, time-weighted over samples (m)",251666,0.538050966426556,NA,0.00399846061874161,0.324804309728714,0.500595386026157,0.703473449900696,4.8430997708629
"per-trial time-weighted mean distance (m)",744,0.500525368815803,0.156896005546429,0.171911979869322,0.388245119325911,0.480522520483816,0.587359544141402,1.20313678545215
"per-trial minimum distance (m)",744,0.173504472310227,0.136728207722186,0.00399846061874161,0.0723886744836609,0.143007622788455,0.230446888162287,1.11892159408781
"distance at trial onset (m)",744,0.704652049465462,0.296670299496247,0.0781690162258836,0.486758170546257,0.675821477449802,0.890639791183669,1.61313686110933
