"model","formula","response","term","estimate","se","df","t","p","ci_lo","ci_hi"
"B1_ang_resp_ang_onset","angResp_onset_deg ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm || participantId)","angResp_onset_deg","soundTypeSpeech",2.61969453324985,2.37885795037329,697.084810926456,1.10124042204318,0.27117213484789,-2.04278137381857,7.28217044031827
"B1_ang_resp_ang_onset","angResp_onset_deg ~ angDisp_onset_cm + soundType + (1 + angDisp_onset_cm || participantId)","angResp_onset_deg","soundTypePink Noise",-0.889797074815475,2.37863899865234,697.055189394026,-0.374078233527494,0.708459870059377,-5.55184384439648,3.77224969476553
"B2_ang_resp_ang_timemean","angResp_onset_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_onset_deg","(Intercept)",9.16638928380282,1.8467906768054,224.117180146712,4.96341539890106,1.37054720376995e-06,5.54674607027989,12.7860324973257
"B2_ang_resp_ang_timemean","angResp_onset_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_onset_deg","angDisp_mean_cm",0.322979874537543,0.061295191640988,31.1454788433282,5.26925303422278,9.79317245687733e-06,0.202843506495726,0.44311624257936
"B2_ang_resp_ang_timemean","angResp_onset_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_onset_deg","soundTypeFlute",3.82245471274671,2.44741514550656,699.770344642364,1.56183339788704,0.118779347074012,-0.974390827664,8.61930025315743
"B2_ang_resp_ang_timemean","angResp_onset_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_onset_deg","soundTypeSpeech",2.39564208650606,2.45339306025013,704.457014878373,0.976460773986951,0.329171368168582,-2.41291995150471,7.20420412451683
"B2_ang_resp_ang_timemean","angResp_onset_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_onset_deg","soundTypePink Noise",-0.50831449877682,2.44518831984702,698.526230179946,-0.207883578802888,0.835380464949298,-5.30079554109498,4.28416654354134
"B2m_angmean_resp_ang_timemean","angResp_mean_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_mean_deg","(Intercept)",16.234269946971,2.04244266246689,70.6534028641993,7.94845811111436,2.14720798198486e-11,12.2311558880478,20.2373840058942
"B2m_angmean_resp_ang_timemean","angResp_mean_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_mean_deg","angDisp_mean_cm",0.429356930472992,0.0671959116308299,29.2693968153789,6.38962877431966,5.27491231376524e-07,0.297655363768229,0.561058497177755
"B2m_angmean_resp_ang_timemean","angResp_mean_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_mean_deg","soundTypeFlute",1.84710940422084,1.96464905565367,692.558508252197,0.940172698480377,0.347456778873581,-2.00353198712098,5.69775079556266
"B2m_angmean_resp_ang_timemean","angResp_mean_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_mean_deg","soundTypeSpeech",1.41388116197395,1.9722883240353,696.069321251194,0.716873463551796,0.473692644041549,-2.4517329202641,5.279495244212
"B2m_angmean_resp_ang_timemean","angResp_mean_deg ~ angDisp_mean_cm + soundType + (1 + angDisp_mean_cm || participantId)","angResp_mean_deg","soundTypePink Noise",-0.145098969875811,1.96175911833951,690.645565152473,-0.073963703555321,0.941060682860983,-3.99007618816429,3.69987824841267
"A0pub_published_uncentred","published, uncentred","signedError_m","(Intercept)",0.00867386439048672,0.0214469712644374,51.956480370626,0.404433068126007,0.687554415770264,-0.033361426865276,0.0507091556462495
"A0pub_published_uncentred","published, uncentred","signedError_m","stimulusDisparity_m",0.346596423664192,0.0535140824337653,30.5049898097573,6.47673300001314,3.4313736673796e-07,0.241710749428304,0.451482097900079
"A0pub_published_uncentred","published, uncentred","signedError_m","soundTypeFlute",0.0120388868805103,0.0170578781432896,688.845580602789,0.705766964647144,0.480571674174965,-0.0213939399330102,0.0454717136940308
"A0pub_published_uncentred","published, uncentred","signedError_m","soundTypeSpeech",-0.00025015995141464,0.0170448007083159,689.249950968672,-0.0146766134550691,0.988294424253663,-0.0336573554633766,0.0331570355605473
"A0pub_published_uncentred","published, uncentred","signedError_m","soundTypePink Noise",-0.0250685193184566,0.0170422135180914,689.522404770622,-1.47096615658786,0.141756464443864,-0.0584706440307574,0.00833360539384428
