"variable","n","mean","sd","min","q05","q25","median","q75","q95","max","pct_over_30deg","pct_over_15deg"
"angDisp_onset_deg",744,28.7576923572387,23.0805232372099,0.561989511731751,6.16587893610655,14.2579329654159,22.1767365231371,35.762477695277,73.6772297762659,146.683181858671,32.1236559139785,72.4462365591398
"angDisp_mean_deg",744,42.2523430201658,20.0695862478479,2.35564083630233,14.9231330390011,25.9714468838525,40.5363422863574,55.0493572994845,77.2652526471785,115.500687078301,66.6666666666667,94.8924731182796
"angDisp_median_deg",744,37.2868575227646,20.1003100851254,2.41046480847692,12.4482207479629,21.8412319621104,33.8586489825141,48.4843301959263,73.2558487462936,126.17450957229,57.3924731182796,89.7849462365591
"angDisp_min_deg",744,12.9958979747091,10.4670742067013,0.0261060310144745,1.06886816560827,5.23517443429079,10.8751520673984,18.6207416162339,32.2605864383878,82.7460667053195,6.58602150537634,34.5430107526882
"angDisp_max_deg",744,104.061493493704,47.6543537526546,5.38079702676104,30.7362030719357,62.2042467133829,104.739169166813,148.421765335246,173.29464482221,179.079087492503,95.1612903225807,99.8655913978495
