axis,n,mean_pull_towards_source_m,ci_lo,ci_hi,t,p
x,575,0.10471675096892605,0.08888803566683645,0.12054546627101564,12.966375132797435,8.561044753173779e-14
y,575,0.14997003480048887,0.1314827920349508,0.16845727756602694,15.89938914617924,2.536293612692793e-16
z,575,0.09707238617819534,0.0809886132127344,0.11315615914365629,11.829213282927856,7.554580544024808e-13
