"basis","shape","var_dist","var_fixed","var_rand","R2_marginal","R2_conditional","ICC"
"shape = sigma() [as reported]",0.513800524724792,4.71150527336134,0.0360595158857705,0.06038623929863,0.00749997570101653,0.0200596375902715,0.012654570863236
"shape = 1/sigma()",1.9462806125697,0.667379155072845,0.0360595158857705,0.06038623929863,0.0472091383791426,0.12626683666538,0.0829748704261788
"shape = 1/sigma()^2 [correct]",3.78800822286467,0.301862115363372,0.0360595158857705,0.06038623929863,0.0905317683935786,0.242138713080822,0.166698450169563
"shape from Pearson residual var",3.56800692701784,0.323158222796885,0.0360595158857705,0.06038623929863,0.0859370210436345,0.229849477710867,0.157442605138155
