participantId,trialConditionId,trialSequenceNum,soundType,disparityRange,azimuthSector,elevationCategory,stimulusDisparity_m,flashAzimuth_deg,flashElevation_deg,responseTime_s,participantError_m,response_x,response_y,response_z,sound_x,sound_y,sound_z,flash_x,flash_y,flash_z,soundToFlash_x,soundToFlash_y,soundToFlash_z,soundToFlash_length,soundToFlash_unit_x,soundToFlash_unit_y,soundToFlash_unit_z,soundToResponse_x,soundToResponse_y,soundToResponse_z,signedError_m,orthogonalError_m,ventriloquistBias,participantError_cm,total_path_length,horizontal_movement,vertical_movement,total_yaw_rotation,total_pitch_rotation,x_range,y_range,z_range,exploration_volume,trajectory_duration,n_samples,movement_rate,angDisp_onset_deg,angDisp_mean_deg,angDisp_median_deg,angDisp_min_deg,angDisp_max_deg,dist_mean_m,dist_min_m,dist_at_onset_m,frac_samples_under_0p5m,frac_samples_under_0p574m,cueEcc_mean_deg,cueEcc_onset_deg,cueEcc_median_deg,cueEcc_min_deg,cueEcc_max_deg,frac_time_cue_within_55deg,srcEcc_mean_deg,srcEcc_onset_deg,srcEcc_median_deg,srcEcc_min_deg,srcEcc_max_deg,frac_time_src_within_55deg,n_time_blocks,trial_has_revisit,participant_mean_rate,trial_rate_deviation,obs_id,stimDisparity_c,trialSequence_c
P001,11,1,Flute,Long (40-70cm),Left,Level,0.4000000059604645,270,15,40.106475830078125,0.20122917175292968,0.11115813255310059,1.2383593320846558,0.12998121976852417,0.2199999988079071,1.1299999952316284,0.25999999046325684,0.41999998688697815,0.7835898399353027,0.25999999046325684,0.19999998807907104,-0.3464101552963257,0,0.39999998865506614,0.4999999843788445,-0.8660254128033168,0,-0.10884186625480652,0.10835933685302734,-0.13001877069473267,-0.14826287085640422,0.1360562368708018,-0.3706571716177883,20.12291717529297,6.1814771649941544,5.625020158073669,1.9067269999999992,981.0032640000002,1303.4505899999995,1.235913,0.47055899999999995,0.705886,0.41052211069077016,39.98200000000001,361,0.15460650205077667,11.89897219092285,12.246978773014831,11.09133838629467,2.0133410871837203,45.358693811209854,0.862263299203867,0.1429274422660985,0.7405281364924462,0.07756232686980609,0.12465373961218837,52.04880447821526,68.18168697510966,48.56020410327572,15.85627961347511,150.17390189304058,0.6675230090040654,49.3017941970866,56.7261436111139,44.727205493128324,10.998361711611107,155.04252360653587,0.6231012895019078,1,FALSE,0.13170847324075635,0.022898028810020316,1,0.0211290374238004,-11.5
P001,17,2,Speech,Long (40-70cm),Left,Level,0.6100000143051147,240,-15,40.688446044921875,0.3156049346923828,-0.4568682909011841,1.1501747369766235,-0.35113370418548584,-0.1599999964237213,1.25,-0.38999998569488525,-0.42413774132728577,0.7217244505882263,-0.23749998211860657,-0.26413774490356445,-0.5282755494117737,0.1525000035762787,0.610000045475258,-0.43301266428229807,-0.8660254262771213,0.24999998722535208,-0.29686829447746277,-0.09982526302337646,0.038866281509399414,0.22471551697652015,0.2216063890594922,0.3683860847651064,31.56049346923828,7.406650725848395,6.8883962096869915,1.9818349999999985,796.86273,955.3818139999998,1.0906150000000001,0.520122,1.4325109999999999,0.8125959546118803,40.50399999999999,374,0.18286220437113362,39.52479158762773,38.75363843256989,32.89365650752707,25.888624142832697,100.24682865589205,0.8494981565013665,0.2537514305364364,0.5003561409404048,0.10695187165775401,0.24331550802139038,41.84090636650921,72.00160309167492,30.992543391316808,16.20086939957127,112.87925064392766,0.7536870614305053,32.53175962773513,59.26819792882943,23.1770835345748,3.727490972861797,118.7292633318586,0.783651360334852,1,FALSE,0.13170847324075635,0.05115373113037727,2,0.23112904576845067,-10.5
P001,21,3,Pink Noise,Long (40-70cm),Left,Above,0.4000000059604645,240,45,62.02711486816406,0.43712692260742186,-0.2286432981491089,1.6820557117462158,0.5263242721557617,0,1.4700000286102295,0.2199999988079071,-0.3464101552963257,1.4700000286102295,0.02000001072883606,-0.3464101552963257,0,-0.19999998807907104,0.39999998865506614,-0.8660254128033168,0,-0.4999999843788445,-0.2286432981491089,0.21205568313598633,0.3063242733478546,0.04484877477550564,0.434820098870785,0.11212193526801707,43.71269226074219,10.535611800364348,10.25552903647171,1.4084560000000004,1850.544642000001,4203.433779999998,1.32033,0.14739900000000006,1.669384,0.32488770415075136,61.92599999999999,560,0.1701322836993242,18.319330653601483,25.07362736925434,23.452290338959585,4.338621465719671,68.00300508750698,0.8847798897199888,0.20330477542589848,0.9963355498293047,0.09642857142857143,0.11428571428571428,42.22631929358756,20.287374892754226,28.929309595606938,2.4897106801370565,175.5807794566742,0.8192691458323256,43.13561353734883,36.2719162479969,29.572208145103026,1.296473712208156,167.1673854278418,0.7779228524912545,1,FALSE,0.13170847324075635,0.03842381045856785,3,0.0211290374238004,-9.5
P001,4,4,Drum,Medium (30-40cm),Right,Below,0.36000001430511475,120,-30,46.92765808105469,0.4964414978027344,0.402218222618103,1.7631977796554565,0.3906594216823578,0.47999998927116394,1.8600000143051147,-0.09000000357627869,0.3241153955459595,2.0399999618530273,0.18000000715255737,-0.15588459372520447,0.1799999475479126,0.27000001072883606,0.3599999909329095,-0.43301277125380677,0.4999998668929351,0.7500000486920955,-0.07778176665306091,-0.0968022346496582,0.4806594252586365,0.345773986239983,0.3562225559766162,0.9604832569448883,49.64414978027344,4.186433358294339,4.08263676330648,0.5978590000000008,1083.263288000001,1332.6162779999995,0.8898320000000001,0.11029800000000001,0.7216020000000001,0.07082284775119749,46.886000000000024,423,0.0892896250116098,12.413408738881458,16.652843084216205,13.94692215416168,12.064982188018801,42.15289447390082,1.1426470074957225,0.536011861612181,1.3848546273537155,0,0.018912529550827423,34.791128020470474,54.19290249037004,12.288786068558908,0.857954468341611,150.30270249701468,0.7659425069685306,38.61419065787127,42.9222724182617,19.883812120106967,2.616619279492591,164.52617124932235,0.7588782262697615,1,FALSE,0.13170847324075635,-0.04241884822914656,4,-0.01887095423154933,-8.5
P001,15,5,Speech,Medium (30-40cm),Left,Above,0.3400000035762787,300,45,60.814422607421875,0.4911233901977539,-0.37167486548423767,1.7579681873321533,-0.23929442465305328,-0.4699999988079071,1.3200000524520874,-0.03999999910593033,-0.7250000238418579,1.4900000095367432,-0.18722429871559143,-0.2550000250339508,0.16999995708465576,-0.1472242996096611,0.33999998907596396,-0.7500000977264085,0.49999988984315463,-0.4330126598232559,0.09832513332366943,0.4379681348800659,-0.19929442554712296,0.23153716888723816,0.43311975998709784,0.6809916660347711,49.11233901977539,9.682172070476387,9.388547399108532,1.4214819999999986,1756.4954000000002,4616.923218000001,1.884725,0.16329399999999983,1.2463600000000001,0.3835850931931936,60.634000000000015,547,0.15968222565683254,11.103965804318374,22.84090684989155,22.06215304170981,7.986488733572401,50.34094125733302,0.7761206909959625,0.3790841020660338,1.2434380832068896,0.19744058500914077,0.25411334552102377,49.03950853258457,51.210380233873146,45.72418104364235,1.5562521493855257,135.02891460540613,0.6597580047740554,60.26883677967507,49.255744290310226,54.77189800650786,7.287766621094606,132.09183156893673,0.5006502592805988,1,FALSE,0.13170847324075635,0.027973752416076192,5,-0.03887096496038539,-7.5
P001,12,6,Flute,Long (40-70cm),Left,Level,0.4000000059604645,270,15,49.856048583984375,0.39134300231933594,-0.006674066185951233,1.8165991306304932,-0.0898960530757904,0.2199999988079071,1.5299999713897705,-0.23000000417232513,0.02000001072883606,1.1835898160934448,-0.23000001907348633,-0.19999998807907104,-0.3464101552963257,-1.4901161193847656e-8,0.3999999886550664,-0.49999998437884413,-0.8660254128033161,-3.7252904041198444e-8,-0.22667406499385834,0.28659915924072266,0.14010395109653473,-0.13486513145379095,0.36737000864134367,-0.33716282361035976,39.134300231933594,5.625836281032716,5.391656358614668,0.8244509999999998,1245.2588600000001,3197.8778880000004,0.635541,0.11045499999999997,0.792068,0.055602128985078526,49.77199999999999,449,0.11303215223484522,40.70805913505909,31.677801723456536,25.78399593181095,20.454258934314378,57.55202862731559,0.7462201528321099,0.3004111399502775,0.42114795695491586,0.311804008908686,0.3741648106904232,62.05870568462628,62.4822636604425,54.10211463448892,15.655764907403162,127.28334383777103,0.501112603492171,51.486203460693474,80.08081887497403,36.675787840378874,4.245467362553969,146.18268998954167,0.5746246216145781,1,FALSE,0.13170847324075635,-0.01867632100591113,6,0.0211290374238004,-6.5
P001,20,7,Pink Noise,Short (15-30cm),Left,Above,0.23999999463558197,240,45,18.372802734375,0.5694569778442383,-0.40479761362075806,1.6235792636871338,-0.16948336362838745,0.05000000074505806,1.3700000047683716,-0.4000000059604645,0.15392303466796875,1.4900000095367432,-0.2200000137090683,0.10392303392291069,0.12000000476837158,0.17999999225139618,0.23999999028052965,0.4330126588815183,0.5000000401171131,0.7499999980874955,-0.4547976143658161,0.2535792589187622,0.23051664233207703,0.1027439966909291,0.5601115104357839,0.4280999957809851,56.945697784423835,1.9573440460372429,1.8914495823835813,0.33788600000000013,249.95069999999993,3001.7625229999994,0.483985,0.076098,0.946769,0.03486977733479757,18.33099999999996,166,0.10677781059610753,9.958214461866058,14.287763504060601,15.099400086877232,9.873757723936075,18.40721347735418,0.9390935961913977,0.7470849197863394,1.2120063946672357,0,0,19.360922219172444,9.649187636604976,13.482292421378212,1.9044109203285446,79.64722957460293,0.8974623142826145,24.956680013050395,5.336947995192859,24.287596186710296,2.6918825312755357,61.94827154582188,0.9457759462097385,1,FALSE,0.13170847324075635,-0.024930662644648827,7,-0.1388709739010821,-5.5
P001,22,8,Pink Noise,Long (40-70cm),Left,Above,0.4000000059604645,240,45,87.67529296875,0.6843968963623047,-0.22653895616531372,1.701736569404602,-0.08920849859714508,0.33000001311302185,1.940000057220459,0.23000000417232513,0.23000003397464752,1.5935899019241333,0.05679492652416229,-0.09999997913837433,-0.3464101552963257,-0.17320507764816284,0.3999999880540072,-0.24999995531217997,-0.8660254141046476,-0.4330127070523238,-0.5565389692783356,-0.23826348781585693,-0.3192085027694702,0.4836982910491433,0.4841850322222222,1.209245709603693,68.43968963623047,3.585280492711841,3.367232615962021,0.781493999999999,1233.58431,6839.913362999996,0.36275599999999986,0.0730599999999999,0.265738,0.007042841819979667,87.55099999999999,789,0.04095076575609464,18.10867599989714,18.65487023062591,18.61573299843458,14.9920184275438,20.159068425020088,1.2031367854521473,1.1189215940878123,1.209506558982732,0,0,25.248915667407132,27.05540835870489,15.233134408031,1.0485812440150284,165.13545383941104,0.8948118911272843,36.28366608836191,43.827062048867,27.570425748296614,11.641968657833573,169.00309829914752,0.8910246172800067,1,FALSE,0.13170847324075635,-0.09075770748466172,8,0.0211290374238004,-4.5
P001,19,9,Pink Noise,Short (15-30cm),Left,Above,0.23999999463558197,240,45,28.789642333984375,0.9024073791503906,-0.41713643074035645,1.7476451396942139,0.4365197718143463,-0.30000001192092896,1.340000033378601,-0.36000001430511475,-0.24000002443790436,1.5478460788726807,-0.46392306685447693,0.0599999874830246,0.2078460454940796,-0.10392305254936218,0.2399999541180531,0.24999999563962966,0.8660253551208705,-0.4330128017368023,-0.11713641881942749,0.4076451063156128,0.7965197861194611,-0.021156370460221452,0.9021594376747657,-0.08815154555459663,90.24073791503906,3.16091808275097,3.1052327190605746,0.35730700000000115,642.9566199999999,4071.3689410000025,0.5396399999999999,0.06351400000000007,0.999309,0.034251011145782675,28.665000000000077,259,0.11027099538639322,20.823441083503308,12.894792162381572,10.960167171530713,9.972605530732249,21.237911456505717,1.050095993880809,0.6419017391988378,0.6590088390069883,0,0,55.9163451919143,30.14964680365444,31.055274476426618,5.205868790772663,155.30339878258425,0.5907700861829308,60.110466642246344,35.472508787117206,35.312183864736085,13.433354943004584,151.43036872759805,0.586912705031972,1,FALSE,0.13170847324075635,-0.021437477854363132,9,-0.1388709739010821,-3.5
P001,10,10,Flute,Medium (30-40cm),Front,Level,0.3799999952316284,0,-15,25.35955810546875,0.5493740844726562,-0.4465816020965576,2.154892921447754,-0.28378069400787354,-0.10000000149011612,1.9500000476837158,0.09000000357627869,-0.28999996185302734,1.9500000476837158,-0.23908966779708862,-0.18999996036291122,0,-0.3290896713733673,0.3799999957138667,-0.49999990133151956,0,-0.8660254607507049,-0.3465816006064415,0.20489287376403809,-0.3737806975841522,0.49699436695157617,0.2341121626552249,1.307879929442194,54.937408447265625,2.09231830611157,2.060334926521819,0.19440000000000124,542.81654,102.63749999999987,0.316558,0.07642700000000002,0.785007,0.01899212829385787,25.222000000000094,228,0.08295608223422259,18.46803394384738,23.449317199853006,20.18199252061166,17.79110075954589,31.529837045551375,0.8358824889746306,0.6930816872254624,0.9177483128008438,0,0,18.510686100370993,13.14714004095653,10.394382788941957,2.391177743188645,76.53360891303882,0.9473808865906099,25.389741635766566,25.094049953476286,15.622057667679158,3.7553518440671083,93.60721047668346,0.8815773891761738,1,FALSE,0.13170847324075635,-0.048752391006533766,10,0.0011290266949643413,-2.5
