"fit","re_sd","shape","reported_logLik","quadrature_logLik","reported_minus_quadrature"
"glmmTMB Gamma",0.245736117204269,3.78800822286467,-2912.54118633189,-2912.52871549841,-0.0124708334797106
"glmer bobyqa",0.195120908524268,3.36830463342436,-2901.98588443543,-2916.20662054225,14.2207361068181
"glmer nloptwrap",0.195487022287113,3.36372619353146,-2901.97206718542,-2916.27966147171,14.3075942862938
