"model","messages"
"M0 baseline","none"
"M0 random intercept only","none"
"M1 disparity x soundType","none"
"M1 with contr.sum","none"
"M0 (ML)","none"
"M1 (ML)","none"
"M2 with random slope for trial","none"
"M2 trial as fixed effect","none"
"M2 on centred disparity","none"
"M2 (ML)","none"
"M2 main effects only (ML)","none"
"Supplementary unsigned-error trial model","none"
"M2 random intercept only","none"
