axis,b_int_raw,se_raw,p_raw,b_int_adj,se_adj,p_adj
vertical y,0.2061657207452377,0.023277888825171775,6.129968382310069e-18,0.24375066803414897,0.028944526122571933,1.9662444164810562e-16
lateral x,0.0032874527854165883,0.01725341022058454,0.8489388764431648,-0.012126231675031853,0.02202004465913228,0.582013664714764
depth z,0.051784066173734544,0.017747291177320896,0.003631450050366834,-0.00963616224934584,0.0228981607099597,0.6740049143389477
