"statistic","angDisp_range_deg"
"mean",91.0655955189947
"sd",45.540074535816
"0%",0.152133643040033
"5%",23.1897539450369
"25%",51.5644025191903
"50%",87.6591502464915
"75%",132.571227264313
"95%",161.138648633179
"100%",177.618472426485
"pct_gt_30deg",89.9193548387097
"pct_gt_60deg",68.9516129032258
"pct_gt_90deg",48.252688172043
"pct_gt_120deg",32.3924731182796
