"optimizer","logLik","slope","se_slope","intercept","se_intercept","sd_int","sd_slope","singular"
"bobyqa",248.818897592041,0.346596423664192,0.0535140824337653,0.00867386439048672,0.0214469712644374,0.0444904683473525,0.190145342451763,FALSE
"Nelder_Mead",248.818897591985,0.346596458861681,0.0535140179611426,0.0086738536645732,0.0214469612784863,0.0444903165323868,0.190144782744393,FALSE
"nloptwrap",248.818897591712,0.346596504860331,0.053513919127702,0.00867383943405155,0.0214469308557949,0.0444898451383412,0.190143913777402,FALSE
