"soundType","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"Drum",13.9989192921908,1.61774944583558,86.0878898844142,10.782986670701,17.2148519136806,8.65332967860186,2.48118737832872e-13
"Flute",15.2028087413182,1.61973624538053,86.4077137722785,11.983096386767,18.4225210958695,9.38597798541367,7.72686103982159e-15
"Speech",13.9739016708288,1.61864949954719,86.2081634145767,10.7562438036683,17.1915595379893,8.63306211427362,2.70151470166368e-13
"Pink Noise",11.4920653187835,1.61879090521817,86.2381085660577,8.27414225780346,14.7099883797635,7.0991659773593,3.33645041876268e-10
