"angular_summary","pearson_r","ci_lo","ci_hi","p_value","r_squared","spearman_rho","r_within_participant"
"angDisp_onset_deg",0.450051164075995,0.390816496674691,0.505573634543753,2.20721067389922e-38,0.202546050286158,0.496320912511828,0.452886532356917
"angDisp_mean_deg",0.657196564014547,0.614339359868563,0.696187486937288,3.44867071441414e-93,0.431907323752526,0.656223584340916,0.700597470754009
"angDisp_median_deg",0.65742700321454,0.614591908414154,0.696396517510582,2.82850529067936e-93,0.432210264555651,0.66874850000234,0.684117426387906
"angDisp_min_deg",0.471861136076603,0.414026307811867,0.525901610380654,1.61776304181887e-42,0.222652931739503,0.430405317406541,0.492118576499203
"angDisp_max_deg",0.394255533132069,0.331780576096757,0.45328724981424,4.44741768092542e-29,0.155437425405252,0.399312418684871,0.444419522112389
"angDisp_range_deg",0.304105499593618,0.237418111718767,0.367939920341625,2.20110575390036e-17,0.0924801548830839,0.313205208492953,0.346770014467006
"angDisp_final_deg",0.497072610696207,0.440949979122713,0.549323276309971,1.10147754999333e-47,0.247081180304343,0.561626446851954,0.524237263402136
