term,estimate,se,p,ci_lo,ci_hi
sound_y_c:roll_c,0.07083086469287034,0.020680783080472723,6.489246751522706e-4,0.0302965298551438,0.11136519953059687
sound_y_c:pitch_c,0.08941142228484872,0.022992910246802098,1.0988367168149999e-4,0.044345318201116604,0.13447752636858085
