"soundType","emmean","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"Drum",3.27080561822419,0.0583049751237057,Inf,3.15652996686222,3.38508126958615,56.0982250877307,0
"Flute",3.21023785680228,0.0584157790603573,Inf,3.09574503371513,3.32473067988943,54.9549780631247,0
"Speech",3.20786262833527,0.0587429617644105,Inf,3.09272853893181,3.32299671773873,54.6084591580597,0
"Pink Noise",3.17185418659381,0.0582805695962903,Inf,3.0576263691866,3.28608200400102,54.4238707439762,0
