frame,subset,n,reversal_rate,ci_lo,ci_hi
onset,all trials,744,0.09274193548387097,0.07287500603330194,0.11590395399378695
onset,cue on the opposite front/back side,94,0.40425531914893614,0.3042335212898393,0.5104808671184164
final,all trials,744,0.06451612903225806,0.0479486180280257,0.0846320015694626
final,cue on the opposite front/back side,47,0.6382978723404256,0.4851978461017513,0.7732857317012138
