"check","pdHess","estimate","se","z","p","ci_lo","ci_hi","usable"
"student_t_random_slope",FALSE,0.371717951628595,NA,NA,NA,NA,NA,FALSE
"student_t_random_slope_BFGS",FALSE,0.373319992920569,NA,NA,NA,NA,NA,FALSE
"student_t_random_intercept_only",TRUE,0.320455404218153,0.0272988125671775,11.7388037823832,8.06186435620786e-32,0.266950714765775,0.37396009367053,TRUE
"cluster_bootstrap",NA,0.336047685330092,0.0683242603238585,NA,NA,0.2018346163955,0.478756567869823,TRUE
