"soundType","response","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value"
"Drum",26.3325447783392,1.53531836824493,Inf,23.4889469244218,29.5203917286857,1,56.0982250877307,0
"Flute",24.7849807998051,1.44783396241661,Inf,22.1037004064924,27.7915128213678,1,54.9549780631247,0
"Speech",24.7261806673738,1.45248908552344,Inf,22.0371251719301,27.7433651452124,1,54.6084591580597,0
"Pink Noise",23.8516688252206,1.39008884495594,Inf,21.2769934487067,26.7378991829591,1,54.4238707439762,0
