"summary","r","r2","r_within"
"angDisp_onset_deg",0.450051164075995,0.202546050286158,0.452886532356917
"angDisp_mean_deg",0.657196564014547,0.431907323752526,0.700597470754009
"angDisp_median_deg",0.65742700321454,0.432210264555651,0.684117426387906
"angDisp_min_deg",0.471861136076603,0.222652931739503,0.492118576499203
"angDisp_max_deg",0.394255533132069,0.155437425405252,0.444419522112389
"angDisp_range_deg",0.304105499593618,0.0924801548830839,0.346770014467006
"angDisp_final_deg",0.497072610696207,0.247081180304343,0.524237263402136
