"quantity","published","recomputed","abs_diff"
"beta_disparity",0.347,0.346596423664192,0.000403576335808287
"SE",0.054,0.0535140824337653,0.000485917566234652
"df (Satterthwaite)",30.5,30.5049898097573,0.00498980975733332
"t",6.48,6.47673300001314,0.00326699998685687
"p",NA,3.4313736673796e-07,NA
"CI low",0.24,0.241710749428304,0.00171074942830407
"CI high",0.45,0.451482097900079,0.0014820979000793
