"fit","estimate","se","df","statistic","p"
"lmerTest on log(error), REML",0.888586568688447,0.452672316977542,707.017325943389,1.9629796993584,0.0500401928227846
"lmerTest on log(error), ML",0.888663494305898,0.45076532824967,713.006823768498,1.9714548538074,0.0490581134597959
"glmmTMB lognormal() as called",1.04940678734012,0.363805424758658,NA,2.88452759613542,0.00392001400306861
