moderator,b_interaction,p_interaction,slope_p10,slope_p10_lo,slope_p10_hi,slope_p90,slope_p90_lo,slope_p90_hi
log_path,0.024963334519482818,0.30795941993384374,0.3789301667749711,0.2825960265746715,0.4752643069752707,0.4407625554959384,0.36115620404126175,0.520368906950615
log_close,-0.13663170290297577,4.173576693074711e-9,0.6450647045903395,0.5455028451465048,0.7446265640341742,0.29854804580320426,0.22634913192113343,0.3707469596852751
log_yrange,0.2061657207452377,6.129968382310069e-18,0.06297243771689442,-0.03338264944804491,0.15932752488183377,0.584194381693478,0.5107724010926762,0.6576163622942799
roll_z,0.07083086469287034,6.489246751522706e-4,0.35523463483205675,0.2826731923999816,0.4277960772641319,0.5004548508040224,0.4200769685507903,0.5808327330572546
pitch_z,0.08941142228484872,1.0988367168149999e-4,0.31847686031514416,0.23781274107116007,0.39914097955912825,0.5443899317167912,0.4541815731075104,0.634598290326072
