"participantId","intercept_deg","slope_deg_per_deg"
"P001",8.54599160995582,0.227562971359747
"P002",8.13025489513443,-0.191792889335415
"P003",5.00648177805707,0.120778364370523
"P004",9.30500402551902,0.32808966582015
"P005",7.73424279001405,0.361455928083517
"P006",11.7193297557395,0.886561337941985
"P007",11.6200188936086,0.519898848592407
"P008",8.15974443278165,0.227783120337406
"P009",9.07031630357707,0.249645317223125
"P010",10.3054032500884,0.433722361927031
"P011",7.53002578409497,0.535356647337308
"P012",10.8973900883886,0.199682015921696
"P013",10.674046559211,0.350777068087122
"P014",9.93175148338793,0.459019836269691
"P015",11.2814527115277,0.453469810866564
"P016",11.490312916198,0.722043360352899
"P017",10.5949978945873,0.374834660889139
"P018",11.5568520265969,0.57685423205793
"P019",10.2932603089168,0.486652572831987
"P020",9.71249386334148,0.0989693442389447
"P021",10.0701640338914,0.472334868424028
"P022",8.21299715800176,0.343540841387295
"P023",7.01914706272907,0.309770388623747
"P024",7.85276472026673,0.309941656593334
"P025",7.74536988123503,-0.136803432242298
"P026",6.94953445502709,0.238958608867692
"P027",9.78611740038938,0.321947884683079
"P028",9.12810341841281,0.539225990753324
"P029",8.79673655531133,-0.000116567053241701
"P030",9.67883915647316,0.41706639578839
"P031",8.1774481721179,0.17495927823024
