"factor_tested","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"azimuthSector","Front - Right",0.381768441508791,1.77473671355171,717.970750032163,-4.18828117002052,4.95181805303811,0.215112719871993,0.99648274798715
"azimuthSector","Front - Back",-2.10547161440167,1.81963189133986,726.473197278549,-6.7910003449847,2.58005711618136,-1.15708656482787,0.654143538630183
"azimuthSector","Front - Left",-0.392161369534276,1.8328978826255,721.33434407594,-5.11192775845536,4.3276050193868,-0.213957020329214,0.996538505410235
"azimuthSector","Right - Back",-2.48724005591046,1.75072654243875,721.0420533836,-6.99541707186846,2.02093696004754,-1.42069020810397,0.486764306294254
"azimuthSector","Right - Left",-0.773929811043068,1.76903060383401,717.615599725743,-5.32929114540658,3.78143152332045,-0.437488084923874,0.971971343268385
"azimuthSector","Back - Left",1.7133102448674,1.78287426682038,719.984722348247,-2.87766393083609,6.30428442057088,0.960982093214543,0.771653860763363
"elevationCategory","Below - Level",0.0315807354118931,1.56916043389324,732.86431551059,-3.65356184486104,3.71672331568483,0.0201258805216864,0.999776708834726
"elevationCategory","Below - Above",-0.179543749248029,1.6604347430046,721.610736791068,-4.07916625465886,3.72007875616281,-0.108130566410059,0.993574690009005
"elevationCategory","Level - Above",-0.211124484659922,1.54614698270246,725.22109749238,-3.84229845307463,3.42004948375478,-0.13654878030477,0.989773361892129
