"model","logLik","AIC","random_intercept_sd"
"Gamma(log) glmmTMB",-2912.54118633189,5851.08237266379,0.245736117204269
"lognormal(log) glmmTMB",-2941.99179138365,5909.98358276731,0.161153377778241
"Gaussian LMM on log(error)",-661.648906202212,1349.29781240442,0.247992879939207
