"contrast","ratio","SE","df","lower.CL","upper.CL","null","t.ratio","p.value"
"Drum / Flute",1.07765788879234,0.0621118963969615,703.092318428579,0.929012258857083,1.25008740649463,1,1.29762747544187,0.56472847816653
"Drum / Speech",1.0777781837631,0.0623518958855888,703.274492888413,0.928598788667345,1.2509232486322,1,1.29470645155409,0.566595353426578
"Drum / Pink Noise",1.08222228551493,0.0621894886262493,703.030297999581,0.933358896856818,1.25482821153719,1,1.37504787446168,0.515460024546239
"Flute / Speech",1.00011162630739,0.0581589606933033,703.392898981834,0.861016487659956,1.16167724940273,1,0.00191943831258732,0.999999997457334
"Flute / Pink Noise",1.00423547841115,0.0578905788004863,703.078862117005,0.865694073322276,1.16494836591568,1,0.0733182410845622,0.999858575343809
"Speech / Pink Noise",1.00412339182476,0.0579034094425272,703.173305981239,0.865554665485097,1.16487591854708,1,0.0713581701677868,0.999869603350537
