"term","df","Chisq","p"
"stimDisparity_c",1,77.3997358962961,1.3963387930846e-18
"soundType",3,3.51600575840166,0.318692153189606
"trialSequence_c",1,11.6554326543337,0.000640153144350199
"azimuthSector",3,0.508397512218835,0.917042679371548
"elevationCategory",2,1.423740038289,0.490725672496737
