frame,n,b_source,src_lo,src_hi,p_source,b_cue,cue_lo,cue_hi
time-weighted,149,0.04659440995430295,-0.057103325695049424,0.15029214560365534,0.37994447671437537,0.04538739687162256,-0.08518688762953268,0.1759616813727778
onset,149,0.08928164009226999,-0.05069590155643239,0.22925918174097237,0.21337843472526416,0.31534725981777106,0.1779374853559729,0.45275703427956926
